basement	county	uranium	radon
Y	BLUEEARTH	1.31208	1.808288771
Y	BLUEEARTH	1.31208	1.931521412
Y	BLUEEARTH	1.31208	1.945910149
Y	BLUEEARTH	1.31208	1.987874348
Y	BLUEEARTH	1.31208	2.261763098
Y	BLUEEARTH	1.31208	2.261763098
Y	BLUEEARTH	1.31208	2.557227311
Y	BLUEEARTH	1.31208	2.57261223
Y	BLUEEARTH	1.31208	2.667228207
Y	BROWN	1.31993	0.955511445
Y	BROWN	1.31993	1.410986974
Y	BROWN	1.31993	1.916922612
Y	BROWN	1.31993	2.32238772
Y	CARLTON	0.717261	-0.105360516
Y	CARLTON	0.717261	0.336472237
Y	CARLTON	0.717261	0.641853886
Y	CARLTON	0.717261	0.741937345
Y	CARLTON	0.717261	0.832909123
Y	CARLTON	0.717261	1.252762968
Y	CARLTON	0.717261	1.386294361
Y	CARLTON	0.717261	1.458615023
Y	CARLTON	0.717261	1.481604541
Y	CARLTON	0.717261	1.740466175
Y	CARVER	1.10061	-2.302585093
Y	CARVER	1.10061	0.530628251
Y	CARVER	1.10061	1.568615918
Y	CARVER	1.10061	2.272125886
Y	CARVER	1.10061	2.564949357
Y	CARVER	1.10061	2.694627181
Y	CASS	0.544319	0.693147181
Y	CASS	0.544319	1.335001067
Y	CASS	0.544319	1.410986974
Y	CASS	0.544319	1.686398954
Y	CASS	0.544319	2.014903021
Y	CHIPPEWA	1.3148	0.405465108
Y	CHIPPEWA	1.3148	2.054123734
Y	CHIPPEWA	1.3148	2.251291799
Y	CHIPPEWA	1.3148	2.312535424
Y	CHISAGO	0.479352	-0.105360516
Y	CHISAGO	0.479352	0.587786665
Y	CHISAGO	0.479352	0.78845736
Y	CHISAGO	0.479352	1.504077397
Y	CHISAGO	0.479352	1.62924054
Y	CHISAGO	0.479352	2.104134154
N	CLAY	1.41027	0.955511445
Y	CLAY	1.41027	0.993251773
Y	CLAY	1.41027	1.30833282
Y	CLAY	1.41027	2.186051277
Y	CLAY	1.41027	2.208274414
Y	CLAY	1.41027	2.564949357
Y	CLAY	1.41027	2.57261223
Y	CLAY	1.41027	2.58021683
Y	CLAY	1.41027	2.975529566
Y	CLAY	1.41027	3.284663565
N	CLEARWATER	0.941896	0
N	CLEARWATER	0.941896	1.589235205
Y	CLEARWATER	0.941896	1.252762968
Y	CLEARWATER	0.941896	1.252762968
Y	COOK	0.603508	0.405465108
Y	COOK	0.603508	1.029619417
Y	COTTONWOOD	1.40433	-2.302585093
Y	COTTONWOOD	1.40433	0.955511445
Y	COTTONWOOD	1.40433	1.931521412
Y	COTTONWOOD	1.40433	2.415913778
N	CROWWING	0.530789	0.955511445
Y	CROWWING	0.530789	0
Y	CROWWING	0.530789	0.470003629
Y	CROWWING	0.530789	0.530628251
Y	CROWWING	0.530789	0.641853886
Y	CROWWING	0.530789	1.098612289
Y	CROWWING	0.530789	1.435084525
Y	CROWWING	0.530789	1.481604541
Y	CROWWING	0.530789	1.504077397
Y	CROWWING	0.530789	1.722766598
Y	CROWWING	0.530789	1.916922612
N	DAKOTA	0.976144	-0.105360516
N	DAKOTA	0.976144	1.589235205
Y	DAKOTA	0.976144	-0.510825624
Y	DAKOTA	0.976144	0
Y	DAKOTA	0.976144	0.182321557
Y	DAKOTA	0.976144	0.182321557
Y	DAKOTA	0.976144	0.405465108
Y	DAKOTA	0.976144	0.405465108
Y	DAKOTA	0.976144	0.405465108
Y	DAKOTA	0.976144	0.405465108
Y	DAKOTA	0.976144	0.470003629
Y	DAKOTA	0.976144	0.530628251
Y	DAKOTA	0.976144	0.587786665
Y	DAKOTA	0.976144	0.693147181
Y	DAKOTA	0.976144	0.741937345
Y	DAKOTA	0.976144	0.741937345
Y	DAKOTA	0.976144	0.832909123
Y	DAKOTA	0.976144	0.955511445
Y	DAKOTA	0.976144	0.993251773
Y	DAKOTA	0.976144	1.064710737
Y	DAKOTA	0.976144	1.064710737
Y	DAKOTA	0.976144	1.064710737
Y	DAKOTA	0.976144	1.193922468
Y	DAKOTA	0.976144	1.223775432
Y	DAKOTA	0.976144	1.252762968
Y	DAKOTA	0.976144	1.280933845
Y	DAKOTA	0.976144	1.30833282
Y	DAKOTA	0.976144	1.360976553
Y	DAKOTA	0.976144	1.458615023
Y	DAKOTA	0.976144	1.481604541
Y	DAKOTA	0.976144	1.504077397
Y	DAKOTA	0.976144	1.504077397
Y	DAKOTA	0.976144	1.504077397
Y	DAKOTA	0.976144	1.526056303
Y	DAKOTA	0.976144	1.568615918
Y	DAKOTA	0.976144	1.589235205
Y	DAKOTA	0.976144	1.609437912
Y	DAKOTA	0.976144	1.609437912
Y	DAKOTA	0.976144	1.62924054
Y	DAKOTA	0.976144	1.648658626
Y	DAKOTA	0.976144	1.704748092
Y	DAKOTA	0.976144	1.774952351
Y	DAKOTA	0.976144	1.808288771
Y	DAKOTA	0.976144	1.85629799
Y	DAKOTA	0.976144	1.887069649
Y	DAKOTA	0.976144	1.916922612
Y	DAKOTA	0.976144	1.931521412
Y	DAKOTA	0.976144	2.041220329
Y	DAKOTA	0.976144	2.091864062
Y	DAKOTA	0.976144	2.104134154
Y	DAKOTA	0.976144	2.116255515
Y	DAKOTA	0.976144	2.174751721
Y	DAKOTA	0.976144	2.186051277
Y	DAKOTA	0.976144	2.186051277
Y	DAKOTA	0.976144	2.219203484
Y	DAKOTA	0.976144	2.272125886
Y	DAKOTA	0.976144	2.687847494
Y	DAKOTA	0.976144	3.058707073
Y	DODGE	1.30194	1.704748092
Y	DODGE	1.30194	1.757857918
Y	DODGE	1.30194	1.987874348
N	DOUGLAS	1.16849	1.335001067
Y	DOUGLAS	1.16849	1.029619417
Y	DOUGLAS	1.16849	1.504077397
Y	DOUGLAS	1.16849	1.589235205
Y	DOUGLAS	1.16849	1.722766598
Y	DOUGLAS	1.16849	1.871802177
Y	DOUGLAS	1.16849	1.931521412
Y	DOUGLAS	1.16849	2.014903021
Y	DOUGLAS	1.16849	2.066862759
Y	FARIBAULT	1.34316	-1.609437912
Y	FARIBAULT	1.34316	0.336472237
Y	FARIBAULT	1.34316	0.875468737
Y	FARIBAULT	1.34316	1.252762968
Y	FARIBAULT	1.34316	1.458615023
Y	FARIBAULT	1.34316	1.667706821
Y	FILLMORE	1.51424	0.955511445
Y	FILLMORE	1.51424	1.193922468
N	FREEBORN	1.25133	0.832909123
Y	FREEBORN	1.25133	1.193922468
Y	FREEBORN	1.25133	1.458615023
Y	FREEBORN	1.25133	1.740466175
Y	FREEBORN	1.25133	1.85629799
Y	FREEBORN	1.25133	2.208274414
Y	FREEBORN	1.25133	2.272125886
Y	FREEBORN	1.25133	2.587764035
Y	FREEBORN	1.25133	3.487375078
N	GOODHUE	1.21727	1.945910149
Y	GOODHUE	1.21727	0.993251773
Y	GOODHUE	1.21727	1.280933845
Y	GOODHUE	1.21727	1.280933845
Y	GOODHUE	1.21727	1.386294361
Y	GOODHUE	1.21727	1.589235205
Y	GOODHUE	1.21727	1.609437912
Y	GOODHUE	1.21727	1.609437912
Y	GOODHUE	1.21727	1.740466175
Y	GOODHUE	1.21727	1.916922612
Y	GOODHUE	1.21727	2.041220329
Y	GOODHUE	1.21727	2.292534757
Y	GOODHUE	1.21727	2.667228207
Y	GOODHUE	1.21727	3.77505715
N	HENNEPIN	0.907991	-0.105360516
N	HENNEPIN	0.907991	0
N	HENNEPIN	0.907991	0.78845736
N	HENNEPIN	0.907991	1.098612289
N	HENNEPIN	0.907991	2.041220329
Y	HENNEPIN	0.907991	-0.693147181
Y	HENNEPIN	0.907991	-0.693147181
Y	HENNEPIN	0.907991	-0.223143551
Y	HENNEPIN	0.907991	0
Y	HENNEPIN	0.907991	0.336472237
Y	HENNEPIN	0.907991	0.470003629
Y	HENNEPIN	0.907991	0.470003629
Y	HENNEPIN	0.907991	0.530628251
Y	HENNEPIN	0.907991	0.530628251
Y	HENNEPIN	0.907991	0.530628251
Y	HENNEPIN	0.907991	0.587786665
Y	HENNEPIN	0.907991	0.641853886
Y	HENNEPIN	0.907991	0.641853886
Y	HENNEPIN	0.907991	0.641853886
Y	HENNEPIN	0.907991	0.693147181
Y	HENNEPIN	0.907991	0.741937345
Y	HENNEPIN	0.907991	0.78845736
Y	HENNEPIN	0.907991	0.832909123
Y	HENNEPIN	0.907991	0.875468737
Y	HENNEPIN	0.907991	0.916290732
Y	HENNEPIN	0.907991	0.955511445
Y	HENNEPIN	0.907991	0.955511445
Y	HENNEPIN	0.907991	0.955511445
Y	HENNEPIN	0.907991	0.955511445
Y	HENNEPIN	0.907991	0.993251773
Y	HENNEPIN	0.907991	0.993251773
Y	HENNEPIN	0.907991	0.993251773
Y	HENNEPIN	0.907991	1.029619417
Y	HENNEPIN	0.907991	1.029619417
Y	HENNEPIN	0.907991	1.064710737
Y	HENNEPIN	0.907991	1.064710737
Y	HENNEPIN	0.907991	1.098612289
Y	HENNEPIN	0.907991	1.131402111
Y	HENNEPIN	0.907991	1.131402111
Y	HENNEPIN	0.907991	1.131402111
Y	HENNEPIN	0.907991	1.131402111
Y	HENNEPIN	0.907991	1.131402111
Y	HENNEPIN	0.907991	1.16315081
Y	HENNEPIN	0.907991	1.193922468
Y	HENNEPIN	0.907991	1.223775432
Y	HENNEPIN	0.907991	1.223775432
Y	HENNEPIN	0.907991	1.223775432
Y	HENNEPIN	0.907991	1.30833282
Y	HENNEPIN	0.907991	1.360976553
Y	HENNEPIN	0.907991	1.360976553
Y	HENNEPIN	0.907991	1.386294361
Y	HENNEPIN	0.907991	1.386294361
Y	HENNEPIN	0.907991	1.386294361
Y	HENNEPIN	0.907991	1.386294361
Y	HENNEPIN	0.907991	1.386294361
Y	HENNEPIN	0.907991	1.410986974
Y	HENNEPIN	0.907991	1.410986974
Y	HENNEPIN	0.907991	1.435084525
Y	HENNEPIN	0.907991	1.435084525
Y	HENNEPIN	0.907991	1.481604541
Y	HENNEPIN	0.907991	1.481604541
Y	HENNEPIN	0.907991	1.481604541
Y	HENNEPIN	0.907991	1.504077397
Y	HENNEPIN	0.907991	1.526056303
Y	HENNEPIN	0.907991	1.547562509
Y	HENNEPIN	0.907991	1.547562509
Y	HENNEPIN	0.907991	1.568615918
Y	HENNEPIN	0.907991	1.568615918
Y	HENNEPIN	0.907991	1.568615918
Y	HENNEPIN	0.907991	1.609437912
Y	HENNEPIN	0.907991	1.648658626
Y	HENNEPIN	0.907991	1.704748092
Y	HENNEPIN	0.907991	1.722766598
Y	HENNEPIN	0.907991	1.722766598
Y	HENNEPIN	0.907991	1.722766598
Y	HENNEPIN	0.907991	1.722766598
Y	HENNEPIN	0.907991	1.740466175
Y	HENNEPIN	0.907991	1.740466175
Y	HENNEPIN	0.907991	1.740466175
Y	HENNEPIN	0.907991	1.757857918
Y	HENNEPIN	0.907991	1.757857918
Y	HENNEPIN	0.907991	1.791759469
Y	HENNEPIN	0.907991	1.808288771
Y	HENNEPIN	0.907991	1.840549633
Y	HENNEPIN	0.907991	1.987874348
Y	HENNEPIN	0.907991	2.014903021
Y	HENNEPIN	0.907991	2.041220329
Y	HENNEPIN	0.907991	2.041220329
Y	HENNEPIN	0.907991	2.140066163
Y	HENNEPIN	0.907991	2.163323026
Y	HENNEPIN	0.907991	2.163323026
Y	HENNEPIN	0.907991	2.163323026
Y	HENNEPIN	0.907991	2.397895273
Y	HENNEPIN	0.907991	2.424802726
Y	HENNEPIN	0.907991	2.57261223
Y	HENNEPIN	0.907991	2.63188884
Y	HENNEPIN	0.907991	2.708050201
Y	HENNEPIN	0.907991	2.809402695
Y	HENNEPIN	0.907991	3.165475048
Y	HOUSTON	1.65455	0.832909123
Y	HOUSTON	1.65455	1.252762968
Y	HOUSTON	1.65455	1.30833282
Y	HOUSTON	1.65455	1.589235205
Y	HOUSTON	1.65455	2.151762203
Y	HOUSTON	1.65455	2.208274414
N	HUBBARD	0.66992	1.335001067
Y	HUBBARD	0.66992	-0.105360516
Y	HUBBARD	0.66992	0.470003629
Y	HUBBARD	0.66992	1.064710737
Y	HUBBARD	0.66992	1.547562509
Y	ISANTI	0.471483	0.832909123
Y	ISANTI	0.471483	1.131402111
Y	ISANTI	0.471483	1.30833282
Y	ITASCA	0.515124	0.182321557
Y	ITASCA	0.515124	0.336472237
Y	ITASCA	0.515124	0.641853886
Y	ITASCA	0.515124	0.693147181
Y	ITASCA	0.515124	0.916290732
Y	ITASCA	0.515124	0.955511445
Y	ITASCA	0.515124	0.993251773
Y	ITASCA	0.515124	0.993251773
Y	ITASCA	0.515124	1.223775432
Y	ITASCA	0.515124	2.251291799
Y	JACKSON	1.36209	1.098612289
Y	JACKSON	1.36209	1.62924054
Y	JACKSON	1.36209	2.140066163
Y	JACKSON	1.36209	2.58021683
Y	JACKSON	1.36209	2.734367509
Y	KANABEC	0.948014	0.641853886
Y	KANABEC	0.948014	0.993251773
Y	KANABEC	0.948014	1.360976553
Y	KANABEC	0.948014	2.079441542
Y	KANDIYOHI	1.11598	1.435084525
Y	KANDIYOHI	1.11598	1.916922612
Y	KANDIYOHI	1.11598	2.433613355
N	KITTSON	0.992227	0
Y	KITTSON	0.992227	1.526056303
Y	KITTSON	0.992227	1.945910149
N	KOOCHICHING	0.414025	0.09531018
N	KOOCHICHING	0.414025	0.336472237
N	KOOCHICHING	0.414025	0.741937345
N	KOOCHICHING	0.414025	1.064710737
Y	KOOCHICHING	0.414025	0.09531018
Y	KOOCHICHING	0.414025	0.405465108
Y	KOOCHICHING	0.414025	0.587786665
Y	LACQUIPARLE	1.36483	2.433613355
Y	LACQUIPARLE	1.36483	2.778819272
N	LAKE	0.500776	0.336472237
Y	LAKE	0.500776	-0.510825624
Y	LAKE	0.500776	-0.510825624
Y	LAKE	0.500776	0
Y	LAKE	0.500776	0.336472237
Y	LAKE	0.500776	0.470003629
Y	LAKE	0.500776	0.530628251
Y	LAKE	0.500776	1.064710737
Y	LAKE	0.500776	1.974081026
N	LAKEOFTHEWOODS	0.505752	1.098612289
Y	LAKEOFTHEWOODS	0.505752	1.223775432
Y	LAKEOFTHEWOODS	0.505752	1.481604541
Y	LAKEOFTHEWOODS	0.505752	2.32238772
Y	LESUEUR	1.21464	1.223775432
Y	LESUEUR	1.21464	1.386294361
Y	LESUEUR	1.21464	1.458615023
Y	LESUEUR	1.21464	1.526056303
Y	LESUEUR	1.21464	2.533696814
Y	LINCOLN	1.56034	1.280933845
Y	LINCOLN	1.56034	2.079441542
Y	LINCOLN	1.56034	2.370243741
N	LYON	1.48399	1.945910149
Y	LYON	1.48399	1.547562509
Y	LYON	1.48399	1.648658626
Y	LYON	1.48399	1.648658626
Y	LYON	1.48399	1.774952351
Y	LYON	1.48399	1.887069649
Y	LYON	1.48399	2.197224577
Y	LYON	1.48399	2.493205453
Y	MAHNOMEN	1.16137	1.386294361
N	MARSHALL	1.01386	0
N	MARSHALL	1.01386	0.405465108
N	MARSHALL	1.01386	0.470003629
Y	MARSHALL	1.01386	0
Y	MARSHALL	1.01386	0.182321557
Y	MARSHALL	1.01386	1.064710737
Y	MARSHALL	1.01386	2.128231706
Y	MARSHALL	1.01386	3.173878459
Y	MARSHALL	1.01386	3.877431561
Y	MARTIN	1.18041	-0.510825624
Y	MARTIN	1.18041	-0.510825624
Y	MARTIN	1.18041	0.470003629
Y	MARTIN	1.18041	1.435084525
Y	MARTIN	1.18041	1.916922612
Y	MARTIN	1.18041	2.028148247
Y	MARTIN	1.18041	2.2300144
Y	MCLEOD	1.15076	-2.302585093
Y	MCLEOD	1.15076	0.182321557
Y	MCLEOD	1.15076	0.262364264
Y	MCLEOD	1.15076	0.530628251
Y	MCLEOD	1.15076	0.641853886
Y	MCLEOD	1.15076	0.875468737
Y	MCLEOD	1.15076	1.064710737
Y	MCLEOD	1.15076	1.386294361
Y	MCLEOD	1.15076	1.504077397
Y	MCLEOD	1.15076	2.302585093
Y	MCLEOD	1.15076	2.341805806
Y	MCLEOD	1.15076	2.370243741
Y	MCLEOD	1.15076	3.238678452
Y	MEEKER	1.02424	0.875468737
Y	MEEKER	1.02424	1.193922468
Y	MEEKER	1.02424	1.386294361
Y	MEEKER	1.02424	1.987874348
Y	MILLELACS	0.810536	-0.510825624
Y	MILLELACS	0.810536	1.757857918
Y	MORRISON	0.910987	0.405465108
Y	MORRISON	0.910987	0.78845736
Y	MORRISON	0.910987	0.916290732
Y	MORRISON	0.910987	1.064710737
Y	MORRISON	0.910987	1.131402111
Y	MORRISON	0.910987	1.131402111
Y	MORRISON	0.910987	1.386294361
Y	MORRISON	0.910987	1.504077397
Y	MORRISON	0.910987	1.609437912
Y	MOWER	1.29814	0.182321557
Y	MOWER	1.29814	0.336472237
Y	MOWER	1.29814	0.741937345
Y	MOWER	1.29814	0.78845736
Y	MOWER	1.29814	1.131402111
Y	MOWER	1.29814	1.526056303
Y	MOWER	1.29814	1.871802177
Y	MOWER	1.29814	2.219203484
Y	MOWER	1.29814	2.2300144
Y	MOWER	1.29814	2.370243741
Y	MOWER	1.29814	2.397895273
Y	MOWER	1.29814	3.18221184
Y	MURRAY	1.49011	2.501435952
Y	NICOLLET	1.28152	1.458615023
Y	NICOLLET	1.28152	2.104134154
Y	NICOLLET	1.28152	2.388762789
Y	NICOLLET	1.28152	2.76000994
Y	NOBLES	1.49998	1.704748092
Y	NOBLES	1.49998	1.840549633
Y	NOBLES	1.49998	2.282382386
Y	NORMAN	1.30372	0.530628251
Y	NORMAN	1.30372	0.530628251
Y	NORMAN	1.30372	2.104134154
N	OLMSTED	1.27526	-0.356674944
N	OLMSTED	1.27526	0.587786665
N	OLMSTED	1.27526	2.251291799
Y	OLMSTED	1.27526	0.182321557
Y	OLMSTED	1.27526	0.182321557
Y	OLMSTED	1.27526	0.741937345
Y	OLMSTED	1.27526	0.78845736
Y	OLMSTED	1.27526	0.875468737
Y	OLMSTED	1.27526	0.955511445
Y	OLMSTED	1.27526	0.955511445
Y	OLMSTED	1.27526	1.098612289
Y	OLMSTED	1.27526	1.098612289
Y	OLMSTED	1.27526	1.193922468
Y	OLMSTED	1.27526	1.360976553
Y	OLMSTED	1.27526	1.435084525
Y	OLMSTED	1.27526	1.504077397
Y	OLMSTED	1.27526	1.526056303
Y	OLMSTED	1.27526	1.62924054
Y	OLMSTED	1.27526	1.871802177
Y	OLMSTED	1.27526	2.066862759
Y	OLMSTED	1.27526	2.091864062
Y	OLMSTED	1.27526	2.312535424
Y	OLMSTED	1.27526	2.424802726
N	OTTERTAIL	0.814867	0.182321557
N	OTTERTAIL	0.814867	2.541601993
Y	OTTERTAIL	0.814867	0.78845736
Y	OTTERTAIL	0.814867	1.029619417
Y	OTTERTAIL	0.814867	1.193922468
Y	OTTERTAIL	0.814867	1.360976553
Y	OTTERTAIL	0.814867	1.458615023
Y	OTTERTAIL	0.814867	2.493205453
Y	PENNINGTON	0.928646	-0.916290732
Y	PENNINGTON	0.928646	1.335001067
Y	PENNINGTON	0.928646	1.774952351
Y	PINE	0.849343	0.262364264
Y	PINE	0.849343	0.262364264
Y	PINE	0.849343	0.470003629
Y	PINE	0.849343	0.693147181
Y	PINE	0.849343	1.064710737
Y	PINE	0.849343	1.435084525
Y	PIPESTONE	1.61382	0.587786665
Y	PIPESTONE	1.61382	1.481604541
Y	PIPESTONE	1.61382	2.251291799
Y	PIPESTONE	1.61382	2.501435952
N	POLK	1.30488	0.955511445
Y	POLK	1.30488	0.405465108
Y	POLK	1.30488	1.945910149
Y	POLK	1.30488	2.272125886
Y	POPE	1.32465	1.252762968
Y	POPE	1.32465	1.360976553
N	RAMSEY	0.658327	-0.223143551
Y	RAMSEY	0.658327	0.09531018
Y	RAMSEY	0.658327	0.262364264
Y	RAMSEY	0.658327	0.262364264
Y	RAMSEY	0.658327	0.262364264
Y	RAMSEY	0.658327	0.262364264
Y	RAMSEY	0.658327	0.530628251
Y	RAMSEY	0.658327	0.587786665
Y	RAMSEY	0.658327	0.78845736
Y	RAMSEY	0.658327	0.832909123
Y	RAMSEY	0.658327	0.955511445
Y	RAMSEY	0.658327	0.993251773
Y	RAMSEY	0.658327	1.029619417
Y	RAMSEY	0.658327	1.029619417
Y	RAMSEY	0.658327	1.064710737
Y	RAMSEY	0.658327	1.16315081
Y	RAMSEY	0.658327	1.280933845
Y	RAMSEY	0.658327	1.280933845
Y	RAMSEY	0.658327	1.280933845
Y	RAMSEY	0.658327	1.30833282
Y	RAMSEY	0.658327	1.360976553
Y	RAMSEY	0.658327	1.410986974
Y	RAMSEY	0.658327	1.458615023
Y	RAMSEY	0.658327	1.609437912
Y	RAMSEY	0.658327	1.667706821
Y	RAMSEY	0.658327	1.722766598
Y	RAMSEY	0.658327	1.722766598
Y	RAMSEY	0.658327	1.840549633
Y	RAMSEY	0.658327	1.931521412
Y	RAMSEY	0.658327	1.960094784
Y	RAMSEY	0.658327	2.163323026
Y	RAMSEY	0.658327	2.32238772
Y	REDWOOD	1.44242	0.693147181
Y	REDWOOD	1.44242	1.360976553
Y	REDWOOD	1.44242	2.014903021
Y	REDWOOD	1.44242	2.197224577
Y	REDWOOD	1.44242	3.034952987
N	RENVILLE	1.46313	1.774952351
Y	RENVILLE	1.46313	0.78845736
Y	RENVILLE	1.46313	1.808288771
Y	RICE	1.21306	1.131402111
Y	RICE	1.21306	1.547562509
Y	RICE	1.21306	1.568615918
Y	RICE	1.21306	1.648658626
Y	RICE	1.21306	1.740466175
Y	RICE	1.21306	1.871802177
Y	RICE	1.21306	2.054123734
Y	RICE	1.21306	2.104134154
Y	RICE	1.21306	2.282382386
Y	RICE	1.21306	2.949688335
Y	ROCK	1.69558	0.530628251
Y	ROCK	1.69558	2.140066163
N	ROSEAU	0.808928	0.262364264
N	ROSEAU	0.808928	0.587786665
N	ROSEAU	0.808928	1.30833282
N	ROSEAU	0.808928	1.458615023
N	ROSEAU	0.808928	1.481604541
Y	ROSEAU	0.808928	0.182321557
Y	ROSEAU	0.808928	1.029619417
Y	ROSEAU	0.808928	1.16315081
Y	ROSEAU	0.808928	1.252762968
Y	ROSEAU	0.808928	1.30833282
Y	ROSEAU	0.808928	1.410986974
Y	ROSEAU	0.808928	1.808288771
Y	ROSEAU	0.808928	2.341805806
Y	ROSEAU	0.808928	2.442347035
N	SCOTT	1.06515	2.219203484
Y	SCOTT	1.06515	0.262364264
Y	SCOTT	1.06515	0.741937345
Y	SCOTT	1.06515	0.78845736
Y	SCOTT	1.06515	1.193922468
Y	SCOTT	1.06515	1.481604541
Y	SCOTT	1.06515	1.704748092
Y	SCOTT	1.06515	2.332143895
Y	SCOTT	1.06515	2.442347035
Y	SCOTT	1.06515	3.230804396
Y	SHERBURNE	0.504879	0.530628251
Y	SHERBURNE	0.504879	0.875468737
Y	SHERBURNE	0.504879	1.064710737
Y	SHERBURNE	0.504879	1.16315081
Y	SHERBURNE	0.504879	1.193922468
Y	SHERBURNE	0.504879	1.568615918
Y	SHERBURNE	0.504879	1.648658626
Y	SIBLEY	1.26771	0.470003629
Y	SIBLEY	1.26771	1.410986974
Y	SIBLEY	1.26771	1.589235205
Y	SIBLEY	1.26771	1.62924054
N	STLOUIS	0.622088	-0.693147181
N	STLOUIS	0.622088	-0.510825624
N	STLOUIS	0.622088	0
N	STLOUIS	0.622088	0.182321557
N	STLOUIS	0.622088	0.587786665
Y	STLOUIS	0.622088	-1.203972804
Y	STLOUIS	0.622088	-0.510825624
Y	STLOUIS	0.622088	-0.356674944
Y	STLOUIS	0.622088	-0.223143551
Y	STLOUIS	0.622088	-0.223143551
Y	STLOUIS	0.622088	-0.223143551
Y	STLOUIS	0.622088	-0.105360516
Y	STLOUIS	0.622088	-0.105360516
Y	STLOUIS	0.622088	-0.105360516
Y	STLOUIS	0.622088	-0.105360516
Y	STLOUIS	0.622088	0
Y	STLOUIS	0.622088	0
Y	STLOUIS	0.622088	0
Y	STLOUIS	0.622088	0
Y	STLOUIS	0.622088	0.182321557
Y	STLOUIS	0.622088	0.182321557
Y	STLOUIS	0.622088	0.182321557
Y	STLOUIS	0.622088	0.182321557
Y	STLOUIS	0.622088	0.262364264
Y	STLOUIS	0.622088	0.336472237
Y	STLOUIS	0.622088	0.336472237
Y	STLOUIS	0.622088	0.405465108
Y	STLOUIS	0.622088	0.405465108
Y	STLOUIS	0.622088	0.405465108
Y	STLOUIS	0.622088	0.405465108
Y	STLOUIS	0.622088	0.405465108
Y	STLOUIS	0.622088	0.470003629
Y	STLOUIS	0.622088	0.470003629
Y	STLOUIS	0.622088	0.470003629
Y	STLOUIS	0.622088	0.470003629
Y	STLOUIS	0.622088	0.470003629
Y	STLOUIS	0.622088	0.470003629
Y	STLOUIS	0.622088	0.470003629
Y	STLOUIS	0.622088	0.470003629
Y	STLOUIS	0.622088	0.530628251
Y	STLOUIS	0.622088	0.530628251
Y	STLOUIS	0.622088	0.530628251
Y	STLOUIS	0.622088	0.587786665
Y	STLOUIS	0.622088	0.587786665
